ID;Q1_niveau;Q2_gabarit;Q3_usage;Q4_distance;Q5_poids;Q6_terrain;Q7_loisir;Q8_suspension;Q9_budget;Q10_priorité;warning1;warning2;warning3;PROFIL
n00001;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_avec;Q9_budget1_serre;Q10_priorite_budget;debutant;suspension;entretien;P0_reveur
n00002;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_avec;Q9_budget1_serre;Q10_priorite_usage;debutant;suspension;entretien;P1_debutant_malin
n00003;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_avec;Q9_budget1_serre;Q10_priorite_poids;debutant;suspension;entretien;P2_1_ultra_leger
n00004;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_avec;Q9_budget2_moyen;Q10_priorite_budget;debutant;suspension;entretien;P2_2_multimodale
n00005;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_avec;Q9_budget2_moyen;Q10_priorite_usage;debutant;suspension;entretien;P2_3_multimodale_suspendu
n00006;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_avec;Q9_budget2_moyen;Q10_priorite_poids;debutant;suspension;entretien;P3_1_occasionnel
n00007;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_avec;Q9_budget3_premium;Q10_priorite_budget;debutant;suspension;entretien;P3_2_regulier
n00008;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_avec;Q9_budget3_premium;Q10_priorite_usage;debutant;suspension;entretien;P3_3_commuter
n00009;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_avec;Q9_budget3_premium;Q10_priorite_poids;debutant;suspension;entretien;P3_4_commuterXXL
n00010;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_sans;Q9_budget1_serre;Q10_priorite_budget;debutant;suspension;entretien;P4_1_voltigeur
n00011;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_sans;Q9_budget1_serre;Q10_priorite_usage;debutant;suspension;entretien;P4_2_pistard
n00012;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_sans;Q9_budget1_serre;Q10_priorite_poids;debutant;suspension;entretien;P4_3_voyageur
n00013;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_sans;Q9_budget2_moyen;Q10_priorite_budget;debutant;suspension;entretien;P4_4_grand_voyageur
n00014;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_sans;Q9_budget2_moyen;Q10_priorite_usage;debutant;suspension;entretien;P5_indecis
n00015;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_sans;Q9_budget2_moyen;Q10_priorite_poids;debutant;suspension;entretien;P1_debutant_malin
