ID;Q1_niveau;Q2_gabarit;Q3_usage;Q4_distance;Q5_poids;Q6_terrain;Q7_loisir;Q8_suspension;Q9_budget;Q10_priorité;warning1;warning2;warning3;PROFIL
n00001;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_avec;Q9_budget1_serre;Q10_priorite_budget;debutant;;;P1_debutant_malin
n00002;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_avec;Q9_budget1_serre;Q10_priorite_usage;debutant;;;P1_debutant_malin
n00003;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_avec;Q9_budget1_serre;Q10_priorite_poids;debutant;;;P1_debutant_malin
n00004;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_avec;Q9_budget2_moyen;Q10_priorite_budget;debutant;;;P1_debutant_malin
n00005;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_avec;Q9_budget2_moyen;Q10_priorite_usage;debutant;;;P1_debutant_malin
n00006;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_avec;Q9_budget2_moyen;Q10_priorite_poids;debutant;;;P1_debutant_malin
n00007;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_avec;Q9_budget3_premium;Q10_priorite_budget;debutant;;;P2_3_multimodale_suspendu
n00008;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_avec;Q9_budget3_premium;Q10_priorite_usage;debutant;;;P2_3_multimodale_suspendu
n00009;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_avec;Q9_budget3_premium;Q10_priorite_poids;debutant;;;P2_1_ultra_leger
n00010;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_sans;Q9_budget1_serre;Q10_priorite_budget;debutant;suspension;;P1_debutant_malin
n00011;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_sans;Q9_budget1_serre;Q10_priorite_usage;debutant;suspension;;P1_debutant_malin
n00012;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_sans;Q9_budget1_serre;Q10_priorite_poids;debutant;suspension;;P1_debutant_malin
n00013;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_sans;Q9_budget2_moyen;Q10_priorite_budget;debutant;suspension;;P1_debutant_malin
n00014;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_sans;Q9_budget2_moyen;Q10_priorite_usage;debutant;suspension;;P1_debutant_malin
n00015;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_sans;Q9_budget2_moyen;Q10_priorite_poids;debutant;suspension;;P1_debutant_malin
n00016;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_sans;Q9_budget3_premium;Q10_priorite_budget;debutant;suspension;;P2_1_ultra_leger
n00017;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_sans;Q9_budget3_premium;Q10_priorite_usage;debutant;suspension;;P2_1_ultra_leger
n00018;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_offroad;Q8_suspension_sans;Q9_budget3_premium;Q10_priorite_poids;debutant;suspension;;P2_1_ultra_leger
n00019;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_vitesse;Q8_suspension_avec;Q9_budget1_serre;Q10_priorite_budget;debutant;;;P1_debutant_malin
n00020;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_vitesse;Q8_suspension_avec;Q9_budget1_serre;Q10_priorite_usage;debutant;;;P1_debutant_malin
n00021;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_vitesse;Q8_suspension_avec;Q9_budget1_serre;Q10_priorite_poids;debutant;;;P1_debutant_malin
n00022;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_vitesse;Q8_suspension_avec;Q9_budget2_moyen;Q10_priorite_budget;debutant;;;P1_debutant_malin
n00023;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_vitesse;Q8_suspension_avec;Q9_budget2_moyen;Q10_priorite_usage;debutant;;;P1_debutant_malin
n00024;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_vitesse;Q8_suspension_avec;Q9_budget2_moyen;Q10_priorite_poids;debutant;;;P1_debutant_malin
n00025;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_vitesse;Q8_suspension_avec;Q9_budget3_premium;Q10_priorite_budget;debutant;;;P2_3_multimodale_suspendu
n00026;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_vitesse;Q8_suspension_avec;Q9_budget3_premium;Q10_priorite_usage;debutant;;;P2_3_multimodale_suspendu
n00027;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_vitesse;Q8_suspension_avec;Q9_budget3_premium;Q10_priorite_poids;debutant;;;P2_1_ultra_leger
n00028;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_vitesse;Q8_suspension_sans;Q9_budget1_serre;Q10_priorite_budget;debutant;;;P1_debutant_malin
n00029;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_vitesse;Q8_suspension_sans;Q9_budget1_serre;Q10_priorite_usage;debutant;;;P1_debutant_malin
n00030;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_vitesse;Q8_suspension_sans;Q9_budget1_serre;Q10_priorite_poids;debutant;;;P1_debutant_malin
n00031;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_vitesse;Q8_suspension_sans;Q9_budget2_moyen;Q10_priorite_budget;debutant;;;P1_debutant_malin
n00032;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_vitesse;Q8_suspension_sans;Q9_budget2_moyen;Q10_priorite_usage;debutant;;;P1_debutant_malin
n00033;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_vitesse;Q8_suspension_sans;Q9_budget2_moyen;Q10_priorite_poids;debutant;;;P1_debutant_malin
n00034;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_vitesse;Q8_suspension_sans;Q9_budget3_premium;Q10_priorite_budget;debutant;;;P2_1_ultra_leger
n00035;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_vitesse;Q8_suspension_sans;Q9_budget3_premium;Q10_priorite_usage;debutant;;;P2_1_ultra_leger
n00036;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_vitesse;Q8_suspension_sans;Q9_budget3_premium;Q10_priorite_poids;debutant;;;P2_1_ultra_leger
n00037;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_endurance;Q8_suspension_avec;Q9_budget1_serre;Q10_priorite_budget;debutant;;;P1_debutant_malin
n00038;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_endurance;Q8_suspension_avec;Q9_budget1_serre;Q10_priorite_usage;debutant;;;P1_debutant_malin
n00039;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_endurance;Q8_suspension_avec;Q9_budget1_serre;Q10_priorite_poids;debutant;;;P1_debutant_malin
n00040;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_endurance;Q8_suspension_avec;Q9_budget2_moyen;Q10_priorite_budget;debutant;;;P1_debutant_malin
n00041;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_endurance;Q8_suspension_avec;Q9_budget2_moyen;Q10_priorite_usage;debutant;;;P1_debutant_malin
n00042;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_endurance;Q8_suspension_avec;Q9_budget2_moyen;Q10_priorite_poids;debutant;;;P1_debutant_malin
n00043;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_endurance;Q8_suspension_avec;Q9_budget3_premium;Q10_priorite_budget;debutant;;;P2_3_multimodale_suspendu
n00044;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_endurance;Q8_suspension_avec;Q9_budget3_premium;Q10_priorite_usage;debutant;;;P2_3_multimodale_suspendu
n00045;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_endurance;Q8_suspension_avec;Q9_budget3_premium;Q10_priorite_poids;debutant;;;P2_1_ultra_leger
n00046;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_endurance;Q8_suspension_sans;Q9_budget1_serre;Q10_priorite_budget;debutant;;;P1_debutant_malin
n00047;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_endurance;Q8_suspension_sans;Q9_budget1_serre;Q10_priorite_usage;debutant;;;P1_debutant_malin
n00048;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_endurance;Q8_suspension_sans;Q9_budget1_serre;Q10_priorite_poids;debutant;;;P1_debutant_malin
n00049;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_endurance;Q8_suspension_sans;Q9_budget2_moyen;Q10_priorite_budget;debutant;;;P1_debutant_malin
n00050;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_endurance;Q8_suspension_sans;Q9_budget2_moyen;Q10_priorite_usage;debutant;;;P1_debutant_malin
n00051;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_endurance;Q8_suspension_sans;Q9_budget2_moyen;Q10_priorite_poids;debutant;;;P1_debutant_malin
n00052;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_endurance;Q8_suspension_sans;Q9_budget3_premium;Q10_priorite_budget;debutant;;;P2_1_ultra_leger
n00053;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_endurance;Q8_suspension_sans;Q9_budget3_premium;Q10_priorite_usage;debutant;;;P2_1_ultra_leger
n00054;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_endurance;Q8_suspension_sans;Q9_budget3_premium;Q10_priorite_poids;debutant;;;P2_1_ultra_leger
n00055;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_decouverte;Q8_suspension_avec;Q9_budget1_serre;Q10_priorite_budget;debutant;;;P1_debutant_malin
n00056;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_decouverte;Q8_suspension_avec;Q9_budget1_serre;Q10_priorite_usage;debutant;;;P1_debutant_malin
n00057;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_decouverte;Q8_suspension_avec;Q9_budget1_serre;Q10_priorite_poids;debutant;;;P1_debutant_malin
n00058;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_decouverte;Q8_suspension_avec;Q9_budget2_moyen;Q10_priorite_budget;debutant;;;P1_debutant_malin
n00059;Q1_debutant;Q2_gabarit_standard;Q3_utilitaire;Q4_distance1_courte;Q5_portage_intensif;Q6_terrain2_chaussee;Q7_style_decouverte;Q8_suspension_avec;Q9_budget2_moyen;Q10_priorite_usage;debutant;;;P1_debutant_malin
